"age"	"BCa"	"se"	"SrCa"	"se"	"MgCa"	"se"	"BaCa"	"se"	"UCa"	"se"	"LiCa"	"se"	"LiMg"	"se"	"d11B"	"se"	"pHcf"	"s"	"Temp"
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.668	NA	NA	NA	22.263095584264
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.369	0.56969424548027	NA	NA	22.0444902078225
2013.30803428571	530.356944444444	5.2847847886694	9.03484638888889	0.0505601427436598	3.51488611111111	0.0544300498166708	10.0335312770563	0.685977716972771	1207.04041111111	13.5062041399667	5.35974166666667	0.0999176970879434	1.5352280392489	0.0227032642774758	22.418	0.653811287758173	8.40223545085187	0.0870091157434878	21.8258848311699
2013.29339428571	552.594205555556	5.07815976128772	9.14349813333333	0.0523192284963316	3.99731432539683	0.145768062711636	9.81156415667666	1.04819174058191	1170.64739566667	16.3838152887733	5.88595255555556	0.1382935417253	1.4876885306518	0.025033244111928	22.46525	0.626919769366242	8.40916852172735	0.0833695883240093	21.6072794545123
2013.27875428571	540.073852592593	10.9151023510609	9.12836803247863	0.041511216179816	4.17246726984127	0.156632882877434	8.88155875132275	1.19631942316812	1139.49475466667	22.2630103041016	5.89365802116402	0.124762741805136	1.43759655179194	0.0359718420107596	23.1564	0.578043504706465	8.45925811106113	0.0754871535821646	21.3885276439524
2013.26411428571	542.190131770452	10.8353131236709	9.18740496459096	0.0338898320118219	4.15898663492063	0.152561923086168	7.86386934240363	0.805873883707151	1155.31381659259	27.1046392784445	5.94701341798942	0.113681778373331	1.45513861086985	0.0347315724011234	23.4686666666667	0.532341625602588	8.48359696160713	0.0690921373003164	21.1678870213523
2013.24947428571	547.543291347171	11.9224705354536	9.20402645925926	0.0382882914276409	4.10598182010582	0.147460889034404	7.84007353741497	0.864459803177211	1175.95801333333	32.320933804835	5.88259481481481	0.123299054678998	1.45455115657026	0.0322572969835199	23.6409333333333	0.493613647517847	8.49862761228967	0.0638862203438713	20.9472463987473
2013.23483428571	547.495192218152	13.5468350029483	9.2563298962963	0.0520158437015804	3.96891407407407	0.137308051198946	8.73523074074074	1.31504892329021	1196.97643442328	38.2574157071108	5.80751318518519	0.136211937767339	1.48367329464198	0.0346205189766934	23.9078666666667	0.512315061792724	8.51980783178074	0.0659679761503025	20.7266057763653
2013.22019428571	546.668438624339	13.9438899785268	9.23195261164021	0.0790425426845043	3.8684302010582	0.137463148816015	8.61469528390128	1.3584514134725	1206.97175130225	39.8879847243395	5.72204503703704	0.133413759472642	1.50427049797089	0.0429384130170393	23.8982666666667	0.463250045271929	8.52296876632472	0.0597034563786654	20.5059651537602
2013.20555428571	542.781216507937	13.5290404371912	9.20450912380952	0.0721387180917751	3.77544850793651	0.146763958348078	8.41662577700078	1.23362213543459	1212.60767867821	39.2088499746476	5.71479853968254	0.116691510078757	1.54565354332656	0.0485054295227526	23.9688	0.424572560403542	8.53134145740765	0.054685648579559	20.2853245311601
2013.19091428571	542.918666243386	13.3588984437891	9.18471181782662	0.0783529257468	3.74660584126984	0.148959516580852	8.18237219047619	1.06322989195356	1212.76635775987	40.8181161278836	5.76085125925926	0.103370801335855	1.57443392828469	0.0470898475642579	24.1086666666667	0.401534374578633	8.54420385471828	0.0516192890246074	20.0646839085551
2013.17627428571	541.110091640212	13.3461328261311	9.1804863045991	0.0686051158320434	3.72718201058201	0.145198241367715	7.96769521855922	0.915234327954404	1214.61857549754	39.243788297178	5.80133134391534	0.0980324600319787	1.58881625412633	0.0411679069308496	24.1358666666667	0.375055676713366	8.54976829771255	0.0482129116485268	19.844043285955
2013.16163428571	544.085657826618	14.1607414335771	9.18073010712251	0.072455291131666	3.77874302645503	0.143126946667536	7.69429383908684	0.824022196210344	1217.05426237444	34.8550972173698	5.82873792592593	0.119664927159438	1.57275090715717	0.0363396154243728	24.1158666666667	0.35821528332324	8.55105660763822	0.0460735585991809	19.623402663568
2013.14699428571	539.313041823362	11.7413841533208	9.19930272096052	0.0534275871008822	3.78059589417989	0.134765360403132	7.65513347559848	0.817093855355179	1223.96394713228	30.296383033129	5.83198666666667	0.129054856954016	1.56866984967363	0.0338733400587124	23.9934666666667	0.324142676796245	8.54336423180136	0.0417984310002435	19.575994397284
2013.13235428571	538.653400797721	13.0844756575096	9.19831389450549	0.0443150706349498	3.8276491005291	0.147660560587564	7.9087297004477	0.938699058992492	1218.86118948148	26.7167991349503	5.78306251851852	0.127934660056897	1.54256169662991	0.0379852123765647	23.9222	0.294636534766223	8.53897521747025	0.0380617753606778	19.5622527528488
2013.11771428571	529.893284493284	9.6116432000491	9.2120261978836	0.0448764472610513	3.82582696296296	0.162413818157817	7.93386226109076	1.14859808269129	1207.31371157672	27.2682867267035	5.75553111111111	0.114074313068533	1.54104962097982	0.0416098840849886	23.7292666666667	0.298339379560971	8.52665055287769	0.0386847481309776	19.5485111084139
2013.10307428571	526.723997037037	10.85881950347	9.17973074790395	0.0416981774111338	3.88269792592593	0.189124925614648	7.50660920634921	0.984636107055038	1195.7851420464	28.4750496140504	5.82916592592593	0.143045519306145	1.54147884025937	0.0417820455235004	23.5842666666667	0.332628771579579	8.51740846604458	0.0432354699296589	19.5347694639787
